Reynolds Number: 1e7 NACA 0012 SECTION DATA. EPPLER MODEL, CL. CD. DEC78, data from Sandia report, ocr by Louis Gagnon from "Aerodynamic characteristics of seven symmetrical airfoil sections through 180-degree angle of attack for use in aerodynamic analysis of vertical axis wind turbines" Sheldahl, R E ; Klimas, P C
0.0000 0.0000 .0064
1.0000 .1100 .0064
2.0000 .2200 .0066
3.0000 .3300 .0068
4.0000 .4400 .0071
5.0000 .5500 .0074
6.0000 .6600 .0078
7.0000 .7700 .0082
8.0000 .8800 .0086
9.0000 .9900 .0091
10.0000 1.1000 .0097
11.0000 1.2100 .0104
12.0000 1.2906 .0116
13.0000 1.3687 .0127
14.0000 1.4171 .0141
15.0000 1.4214 .0157
16.0000 1.2941 .0182
17.0000 1.1200 .0210
18.0000 .9795 .0241
19.0000 .8983 .1610
20.0000 .8668 .2970
21.0000 .8665 .3200
22.0000 .8859 .3440
23.0000 .9151 .3690
24.0000 .9492 .3940
25.0000 .9927 .4200
26.0000 1.0371 .4460
27.0000 1.0833 .4730
30.0000 .9150 .5700
35.0000 1.0200 .7450
40.0000 1.0750 .9200
45.0000 1.0850 1.0750
50.0000 1.0400 1.2150
55.0000 .9650 1.3450
60.0000 .8750 1.4700
65.0000 .7650 1.5750
70.0000 .6500 1.6650
75.0000 .5150 1.7350
80.0000 .3700 1.7800
85.0000 .2200 1.8000
90.0000 .0700 1.8000
95.0000 -.0700 1.7800
100.0000 -.2200 1.7500
105.0000 -.3700 1.7000
110.0000 -.5100 1.6350
115.0000 -.6250 1.5550
120.0000 -.7350 1.4650
125.0000 -.8400 1.3500
130.0000 -.9100 1.2250
135.0000 -.9450 1.0850
140.0000 -.9450 .9250
145.0000 -.9100 .7550
150.0000 -.8500 .5750
155.0000 -.7400 .4200
160.0000 -.6600 .3200
165.0000 -.6750 .2300
170.0000 -.8500 .1400
175.0000 -.6900 .0550
180.0000 0.0000 .0250
