Reynolds Number: 1e6 NACA 0012 SECTION DATA. EPPLER MODEL, CL. CD. DEC78, data from Sandia report, ocr by Louis Gagnon from "Aerodynamic characteristics of seven symmetrical airfoil sections through 180-degree angle of attack for use in aerodynamic analysis of vertical axis wind turbines" Sheldahl, R E ; Klimas, P C
0.0000 0.0000 .0065
1.0000 .1100 .0066
2.0000 .2200 .0068
3.0000 .3300 .0071
4.0000 .4400 .0078
5.0000 .5500 .0091
6.0000 .5500 .0101
7.0000 .7700 .0110
8.0000 .8800 .0119
9.0000 .9661 .0134
10.0000 1.0512 .0147 
11.0000 1.1097 .0162
12.0000 1.1212 .0180
13.0000 1.0487 .0200
14.0000 .8846 .0222
15.0000 .7108 .0245
16.0000 .6060 .1280 
17.0000 .5906 .2310
18.0000 .6030 .2520
19.0000 .6334 .2740
20.0000 .6716 .2970
21.0000 .7162 .3200
22.0000 .7613 .3440
23.0000 .8097 .3690
24.0000 .8589 .3940
25.0000 .9093 .4200
26.0000 .9618 .4460
27.0000 1.0144 .4730
30.0000 .9150 .5700
35.0000 1.0200 .7450
40.0000 1.0750 .9200
45.0000 1.0850 1.0750 
50.0000 1.0400 1.2150
55.0000 .9650 1.3450
60.0000 .8750 1.4700 
65.0000 .7650 1.5750
70.0000 .6500 1.6650
75.0000 .5150 1.7350
80.0000 .3700 1.7800
85.0000 .2200 1.8000
90.0000 .0700 1.8000
95.0000 -.0700 1.7800
100.0000 -.2200 1.7500
105.0000 -.3700 1.7000
110.0000 -.5100 1.6350
115.0000 -.6250 1.5550
120.0000 -.7350 1.4650
125.0000 -.8400 1.3500
130.0000 -.9100 1.2250
135.0000 -.9450 1.0850
140.0000 -.9450 .9250
145.0000 -.9100 .7550
150.0000 -.8500 .5750
155.0000 -.7400 .4200
160.0000 -.6600 .3200
165.0000 -.6750 .2300 
170.0000 -.8500 .1400
175.0000 -.6900 .0550
180.0000 0.0000 .0250
